"","tree","year","dbh"
"1127","VUF105",1934,NA
"1128","VUF106",1934,8.251
"1129","VUF107",1934,NA
"1130","VUF108",1934,13.389
"1131","VUF109",1934,NA
"1132","VUF110",1934,NA
"1133","VUF111",1934,NA
"1134","VUF112",1934,12.716
"1135","VUF114",1934,NA
"1136","VUF115",1934,NA
"1137","VUF116",1934,NA
"1138","VUF117",1934,NA
"1139","VUF118",1934,NA
"1140","VUF119",1934,3.624
"1141","VUF120",1934,NA
"1142","VUF122",1934,NA
"1143","VUF125",1934,NA
"1144","VUF128",1934,NA
"1145","VUF129",1934,NA
"1146","VUF130",1934,NA
"1147","VUF131",1934,NA
"1148","VUF132",1934,NA
"1149","VUF133",1934,17.738
"1150","VUF135",1934,NA
"1151","VUF136",1934,NA
"1152","VUF137",1934,NA
"1153","VUF139",1934,20.315
"1154","VUF140",1934,NA
"1155","VUF142",1934,NA
"1156","VUF143",1934,9.595
"1157","VUF144",1934,NA
"1158","VUF145",1934,NA
"1159","VUF146",1934,NA
"1160","VUF147",1934,NA
"1161","VUF148",1934,NA
"1162","VUF149",1934,17.58
"1163","VUF150",1934,NA
"1164","VUF151",1934,NA
"1165","VUF208",1934,NA
"1166","VUF209",1934,3.9775
"1167","VUF219",1934,NA
"1168","VUF222",1934,NA
"1169","VUF229",1934,NA
"1170","VUF235",1934,NA
"1171","VUF242",1934,NA
"1172","VUF308",1934,NA
"1173","VUF322",1934,NA
"1174","VUF335",1934,NA
"1175","VUF435",1934,NA
"1176","VUF508",1934,13.389
"1177","VUF001",1935,24.4495
"1178","VUF002",1935,20.683
"1179","VUF003",1935,17.4625
"1180","VUF004",1935,NA
"1181","VUF005",1935,14.549
"1182","VUF006",1935,NA
"1183","VUF007",1935,NA
"1184","VUF008",1935,NA
"1185","VUF009",1935,4.1935
"1186","VUF010",1935,NA
"1187","VUF011",1935,16.37
"1188","VUF012",1935,NA
"1189","VUF013",1935,NA
"1190","VUF015",1935,NA
"1191","VUF016",1935,NA
"1192","VUF017",1935,33.9665
"1193","VUF018",1935,NA
"1194","VUF019",1935,NA
"1195","VUF020",1935,NA
"1196","VUF021",1935,NA
"1197","VUF022",1935,NA
"1198","VUF023",1935,20.8445
"1199","VUF024",1935,22.5345
"1200","VUF025",1935,NA
"1201","VUF026",1935,NA
"1202","VUF027",1935,NA
"1203","VUF028",1935,NA
"1204","VUF029",1935,NA
"1205","VUF030",1935,NA
"1206","VUF031",1935,NA
"1207","VUF032",1935,NA
"1208","VUF034",1935,NA
"1209","VUF036",1935,NA
"1210","VUF037",1935,NA
"1211","VUF038",1935,NA
"1212","VUF039",1935,28.878
"1213","VUF040",1935,29.528
"1214","VUF041",1935,NA
"1215","VUF042",1935,25.61
"1216","VUF044",1935,NA
"1217","VUF045",1935,14.533
"1218","VUF047",1935,NA
"1219","VUF048",1935,NA
"1220","VUF049",1935,NA
"1221","VUF050",1935,NA
"1222","VUF101",1935,NA
"1223","VUF102",1935,NA
"1224","VUF104",1935,9.236
"1225","VUF105",1935,NA
"1226","VUF106",1935,7.9195
"1227","VUF107",1935,NA
"1228","VUF108",1935,13.594
"1229","VUF109",1935,NA
"1230","VUF110",1935,NA
"1231","VUF111",1935,NA
"1232","VUF112",1935,12.9415
"1233","VUF114",1935,NA
"1234","VUF115",1935,NA
"1235","VUF116",1935,NA
"1236","VUF117",1935,NA
"1237","VUF118",1935,NA
"1238","VUF119",1935,4.015
"1239","VUF120",1935,NA
"1240","VUF122",1935,NA
"1241","VUF125",1935,NA
"1242","VUF128",1935,NA
"1243","VUF129",1935,NA
"1244","VUF130",1935,NA
"1245","VUF131",1935,NA
"1246","VUF132",1935,NA
"1247","VUF133",1935,17.9945
"1248","VUF135",1935,NA
"1249","VUF136",1935,NA
"1250","VUF137",1935,NA
"1251","VUF139",1935,20.529
"1252","VUF140",1935,NA
"1253","VUF142",1935,NA
"1254","VUF143",1935,9.903
"1255","VUF144",1935,21.665
"1256","VUF145",1935,NA
"1257","VUF146",1935,NA
"1258","VUF147",1935,NA
"1259","VUF148",1935,NA
"1260","VUF149",1935,17.97
"1261","VUF150",1935,NA
"1262","VUF151",1935,NA
"1263","VUF208",1935,NA
"1264","VUF209",1935,4.1935
"1265","VUF219",1935,NA
"1266","VUF222",1935,NA
"1267","VUF229",1935,NA
"1268","VUF235",1935,NA
"1269","VUF242",1935,NA
"1270","VUF308",1935,NA
"1271","VUF322",1935,NA
"1272","VUF335",1935,NA
"1273","VUF435",1935,NA
"1274","VUF508",1935,13.594
"1275","VUF001",1936,24.881
"1276","VUF002",1936,20.9905
"1277","VUF003",1936,17.7925
"1278","VUF004",1936,NA
"1279","VUF005",1936,14.817
"1280","VUF006",1936,9.631
"1281","VUF007",1936,NA
"1282","VUF008",1936,NA
"1283","VUF009",1936,4.46
"1284","VUF010",1936,NA
"1285","VUF011",1936,16.7555
"1286","VUF012",1936,NA
"1287","VUF013",1936,NA
"1288","VUF015",1936,NA
"1289","VUF016",1936,NA
"1290","VUF017",1936,34.416
"1291","VUF018",1936,10.227
"1292","VUF019",1936,NA
"1293","VUF020",1936,NA
"1294","VUF021",1936,17.365
"1295","VUF022",1936,NA
"1296","VUF023",1936,21.179
"1297","VUF024",1936,22.865
"1298","VUF025",1936,NA
"1299","VUF026",1936,NA
"1300","VUF027",1936,NA
"1301","VUF028",1936,NA
"1302","VUF029",1936,NA
"1303","VUF030",1936,NA
"1304","VUF031",1936,NA
"1305","VUF032",1936,NA
"1306","VUF034",1936,10.715
"1307","VUF036",1936,NA
"1308","VUF037",1936,9.6935
"1309","VUF038",1936,NA
"1310","VUF039",1936,29.394
"1311","VUF040",1936,30.007
"1312","VUF041",1936,NA
"1313","VUF042",1936,25.9635
"1314","VUF044",1936,NA
"1315","VUF045",1936,14.761
"1316","VUF047",1936,NA
"1317","VUF048",1936,NA
"1318","VUF049",1936,NA
"1319","VUF050",1936,NA
"1320","VUF101",1936,NA
"1321","VUF102",1936,NA
"1322","VUF104",1936,9.528
"1323","VUF105",1936,NA
"1324","VUF106",1936,8.141
"1325","VUF107",1936,NA
"1326","VUF108",1936,13.871
"1327","VUF109",1936,NA
"1328","VUF110",1936,16.148
"1329","VUF111",1936,14.328
"1330","VUF112",1936,13.2035
"1331","VUF114",1936,NA
"1332","VUF115",1936,9.343
"1333","VUF116",1936,NA
"1334","VUF117",1936,NA
"1335","VUF118",1936,NA
"1336","VUF119",1936,4.457
"1337","VUF120",1936,NA
"1338","VUF122",1936,NA
"1339","VUF125",1936,NA
"1340","VUF128",1936,NA
"1341","VUF129",1936,NA
"1342","VUF130",1936,NA
"1343","VUF131",1936,NA
"1344","VUF132",1936,NA
"1345","VUF133",1936,18.3005
"1346","VUF135",1936,NA
"1347","VUF136",1936,6.53
"1348","VUF137",1936,NA
"1349","VUF139",1936,20.882
"1350","VUF140",1936,NA
"1351","VUF142",1936,NA
"1352","VUF143",1936,10.2625
"1353","VUF144",1936,22.184
"1354","VUF145",1936,NA
"1355","VUF146",1936,NA
